id,datetime,district,category,severity,light,weather,road_defect,road_defects,participants_count,vehicles_count,dead_count,injured_count,lat,lon
1227463,2023-02-12 12:56:00,Подольский,Наезд на пешехода,Тяжёлый,Светлое время суток,Пасмурно,Недостатки зимнего содержания,2,2,1,0,1,55.422956,37.487133
1227480,2023-02-12 14:10:00,Ленинский,Столкновение,Тяжёлый,Светлое время суток,Ясно,Отсутствие дорожных знаков в необходимых местах,1,3,2,0,1,55.532754,37.812324
1227518,2023-02-12 16:10:00,Железнодорожный,Наезд на пешехода,Тяжёлый,Светлое время суток,Ясно,,0,2,1,0,1,55.762357,37.965175
1227542,2023-02-12 17:49:00,Красногорский,Наезд на пешехода,С погибшими,"В темное время суток, освещение включено",Ясно,,0,2,1,1,0,55.836603,37.26169
1227545,2023-02-12 17:55:00,Наро-Фоминский,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,55.269385,36.824164
1227638,2023-02-13 06:47:00,Климовск,Столкновение,Тяжёлый,Светлое время суток,Ясно,,0,5,4,0,1,55.080787,38.762426
1227663,2023-02-13 08:00:00,Люберецкий,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,Недостатки зимнего содержания,1,3,2,0,1,55.691072,37.868285
1227664,2023-02-13 08:00:00,Чеховский,Столкновение,Легкий,Светлое время суток,Пасмурно,,0,4,3,0,1,55.155072,37.447929
1227681,2023-02-13 08:45:00,Сергиево-Посадский,Столкновение,Легкий,Светлое время суток,Пасмурно,,0,4,3,0,1,56.364822,38.193069
1227698,2023-02-13 09:45:00,Домодедово,Наезд на пешехода,Тяжёлый,Светлое время суток,Снегопад,Недостатки зимнего содержания,1,2,1,0,1,55.4398,37.743713
1227753,2023-02-13 12:00:00,Серпуховский,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,2,2,0,1,55.015647,37.55554
1227792,2023-02-13 14:20:00,Дубна,Столкновение,Тяжёлый,Светлое время суток,Ясно,Недостатки зимнего содержания,1,2,2,0,1,56.743146,37.178432
1227807,2023-02-13 15:00:00,Шаховской,Наезд на пешехода,Тяжёлый,Светлое время суток,Пасмурно,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,2,1,0,1,56.031311,35.512834
1227808,2023-02-13 15:00:00,Климовск,Столкновение,Тяжёлый,Светлое время суток,Ясно,,0,2,2,0,1,55.085804,38.787231
1227827,2023-02-13 16:40:00,Клинский,Столкновение,С погибшими,Светлое время суток,Пасмурно,,0,2,3,1,0,56.341924,36.712468
1227938,2023-02-14 06:35:00,Балашиха,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,2,1,0,1,55.703546,38.055578
1227985,2023-02-14 09:00:00,Ивантеевка,Наезд на пешехода,Тяжёлый,Светлое время суток,Пасмурно,Недостатки зимнего содержания,2,2,1,0,1,55.961999,37.920406
1228009,2023-02-14 10:00:00,Одинцовский,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,2,3,0,1,55.625549,37.151771
1228074,2023-02-14 13:20:00,Дубна,Наезд на препятствие,Легкий,Светлое время суток,Пасмурно,Недостатки зимнего содержания,1,4,3,0,2,56.72695,37.142705
1228085,2023-02-14 13:50:00,Домодедово,Столкновение,Тяжёлый,Светлое время суток,Снегопад,Неудовлетворительное состояние обочин,2,2,3,0,1,55.276188,37.825391
1228177,2023-02-14 18:27:00,Дзержинский,Наезд на пешехода,Легкий,Светлое время суток,Пасмурно,,0,2,1,0,1,55.636639,37.841731
1228190,2023-02-14 19:00:00,Дмитровский,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение отсутствует",Снегопад,,0,2,1,0,1,56.132817,37.272234
1228242,2023-02-15 00:30:00,Сергиево-Посадский,Столкновение,С погибшими,"В темное время суток, освещение включено",Снегопад,,0,2,3,1,0,56.311455,38.316879
1228260,2023-02-15 06:35:00,Одинцовский,Наезд на стоящее ТС,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,3,0,1,55.579297,36.776615
