dtp_id,vehicle_no,role,gender,experience,violation,violations_count,health,brand,vehicle_year,vehicle_category
2119,2,Водитель,,14.0,Несоблюдение бокового интервала,1,Ранен,ВАЗ,2010,"В-класс (малый) до 3,9 м"
2321,1,Водитель,Мужской,8.0,Другие нарушения ПДД водителем,1,Не пострадал,VOLVO,1993,"С-класс (малый средний, компактный) до 4,3 м"
2321,,Пешеход,Женский,,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,1,Ранен,,,
2338,1,Водитель,Мужской,13.0,Нет нарушений,0,Не пострадал,VOLKSWAGEN,1991,"В-класс (малый) до 3,9 м"
2338,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,VOLKSWAGEN,1991,"В-класс (малый) до 3,9 м"
2338,2,Водитель,Мужской,15.0,Выезд на полосу встречного движения,1,Ранен,DAEWOO,2012,"В-класс (малый) до 3,9 м"
2417,1,Водитель,Мужской,15.0,Нет нарушений,0,Не пострадал,ВАЗ,2003,"В-класс (малый) до 3,9 м"
2417,,Пешеход,Мужской,,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,1,Ранен,,,
2550,1,Водитель,Мужской,4.0,Нарушение правил расположения ТС на проезжей части,1,Ранен,ВАЗ,2006,"С-класс (малый средний, компактный) до 4,3 м"
2575,1,Водитель,Мужской,11.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,VOLKSWAGEN,2001,"В-класс (малый) до 3,9 м"
2575,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
2682,1,Водитель,Женский,1.0,Несоответствие скорости конкретным условиям движения,1,Ранен,ВАЗ,2009,"С-класс (малый средний, компактный) до 4,3 м"
2727,1,Водитель,Мужской,6.0,Нет нарушений,0,Не пострадал,ВАЗ,1998,"D-класс (средний) до 4,6 м"
2727,,Пешеход,Мужской,,Нахождение на проезжей части без цели её перехода,1,Погиб,,,
2942,1,Водитель,Мужской,32.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,ВАЗ,2012,"С-класс (малый средний, компактный) до 4,3 м"
2942,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
2961,1,Водитель,Мужской,28.0,Несоблюдение очередности проезда,1,Не пострадал,ВАЗ,1999,"В-класс (малый) до 3,9 м"
2961,2,Пассажир,Женский,,Нет нарушений,0,Ранен,HYUNDAI,2012,"В-класс (малый) до 3,9 м"
2961,2,Водитель,Мужской,8.0,Нет нарушений,0,Не пострадал,HYUNDAI,2012,"В-класс (малый) до 3,9 м"
3069,1,Водитель,Мужской,21.0,Несоблюдение очередности проезда,1,Не пострадал,BMW,2004,"В-класс (малый) до 3,9 м"
