id,datetime,district,category,severity,light,weather,road_defect,road_defects,participants_count,vehicles_count,dead_count,injured_count,lat,lon
460291,2017-09-29 14:10:00,Стародубский район,Столкновение,Тяжёлый,Светлое время суток,Ясно,,0,2,2,0,2,52.5858,32.7769
460320,2017-09-29 15:10:00,Брянский район,Наезд на велосипедиста,С погибшими,Светлое время суток,Пасмурно,,0,2,2,1,0,53.3039,34.068
460713,2017-09-30 05:50:00,Дятьковский район,Съезд с дороги,Тяжёлый,Светлое время суток,Пасмурно,,0,3,1,0,3,53.6736,34.3261
461020,2017-09-30 18:00:00,Брянский район,Столкновение,Тяжёлый,Сумерки,Пасмурно,,0,3,2,0,2,53.4048,34.3496
461203,2017-09-30 22:15:00,Новозыбковский район,Наезд на велосипедиста,Легкий,Светлое время суток,Ясно,,0,2,2,0,1,52.52827,31.959183
461250,2017-10-01 00:55:00,Суражский район,Наезд на животное,Легкий,"В темное время суток, освещение отсутствует",Ясно,,0,1,1,0,1,53.1422,32.5392
461262,2017-10-01 01:32:00,Брянская область,Наезд на препятствие,Легкий,"В темное время суток, освещение включено",Пасмурно,,0,3,1,0,2,53.2869,34.3044
461568,2017-10-01 19:00:00,Унеченский район,Наезд на пешехода,Легкий,"В темное время суток, освещение включено",Ясно,,0,2,1,0,1,52.8478,32.6858
461579,2017-10-01 19:25:00,Новозыбковский район,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,52.529412,31.948833
462055,2017-10-02 19:00:00,Карачевский район,Столкновение,Легкий,"В темное время суток, освещение включено",Пасмурно,,0,2,2,0,2,35.0,34.0
462220,2017-10-03 07:32:00,Дятьковский район,Столкновение,Тяжёлый,Светлое время суток,Ясно,Отсутствие пешеходных ограждений в необходимых местах,1,3,2,0,1,53.605644,34.334076
462269,2017-10-03 08:55:00,Брянская область,Столкновение,Легкий,Светлое время суток,Пасмурно,Неудовлетворительное состояние обочин,3,3,2,0,1,53.2469,34.4603
462582,2017-10-03 20:10:00,Гордеевский район,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение отсутствует",Пасмурно,,0,2,1,0,2,52.4206,32.2058
462891,2017-10-04 14:35:00,Почепский район,Наезд на стоящее ТС,С погибшими,Светлое время суток,Пасмурно,,0,2,2,1,0,52.155,33.7372
462956,2017-10-04 17:10:00,Брянская область,Столкновение,Легкий,Светлое время суток,Дождь,,0,2,2,0,1,53.2303,34.3597
462967,2017-10-04 17:37:00,Брянская область,Столкновение,Тяжёлый,Светлое время суток,Пасмурно,,0,3,2,0,2,53.2683,34.3567
463038,2017-10-04 19:30:00,Брянская область,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,2,2,0,1,53.3136,34.2747
463039,2017-10-04 19:30:00,Брянская область,Наезд на пешехода,Легкий,"В темное время суток, освещение включено",Пасмурно,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,2,1,0,1,53.2742,34.4008
463143,2017-10-04 22:55:00,Брянская область,Наезд на препятствие,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,2,1,0,1,53.2586,34.3706
