dtp_id,vehicle_no,role,gender,experience,violation,violations_count,health,brand,vehicle_year,vehicle_category
1092333,1,Водитель,Женский,20.0,Непредоставление преимущества в движении пешеходу,1,Не пострадал,NISSAN,2017,"В-класс (малый) до 3,9 м"
1092333,,Пешеход,Мужской,,Нет нарушений,0,Погиб,,,
1092347,1,Водитель,Мужской,18.0,Несоблюдение очередности проезда,1,Не пострадал,SKODA,2010,Прочие легковые автомобили
1092347,2,Водитель,Мужской,14.0,Нет нарушений,0,Ранен,KIA,2012,"С-класс (малый средний, компактный) до 4,3 м"
1092383,1,Водитель,Мужской,32.0,Неправильный выбор дистанции,1,Ранен,NISSAN,2014,"В-класс (малый) до 3,9 м"
1092383,1,Пассажир,Женский,,Нет нарушений,0,Ранен,NISSAN,2014,"В-класс (малый) до 3,9 м"
1092383,2,Водитель,Женский,14.0,Нет нарушений,0,Ранен,MITSUBISHI,2016,"В-класс (малый) до 3,9 м"
1092383,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,MITSUBISHI,2016,"В-класс (малый) до 3,9 м"
1092457,1,Водитель,Мужской,32.0,Нет нарушений,0,Ранен,VOLKSWAGEN,1994,"А-класс (особо малый) до 3,5 м"
1092457,1,Пассажир,Женский,,Нет нарушений,0,Ранен,VOLKSWAGEN,1994,"А-класс (особо малый) до 3,5 м"
1092457,2,Водитель,Женский,12.0,Нарушение правил расположения ТС на проезжей части,1,Ранен,VOLKSWAGEN,2000,"А-класс (особо малый) до 3,5 м"
1092457,2,Пассажир,Женский,,Нет нарушений,0,Ранен,VOLKSWAGEN,2000,"А-класс (особо малый) до 3,5 м"
1092481,1,Водитель,Мужской,14.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,ВАЗ,2017,"В-класс (малый) до 3,9 м"
1092481,,Пешеход,Женский,,Нахождение на проезжей части без цели её перехода,1,Погиб,,,
1092497,1,Водитель,Мужской,5.0,Неправильный выбор дистанции,1,Ранен,ВАЗ,2005,"В-класс (малый) до 3,9 м"
1092497,3,Водитель,Мужской,15.0,Нет нарушений,0,Не пострадал,КАМАЗ,2018,Седельные тягачи
1092515,1,Водитель,Мужской,3.0,Несоответствие скорости конкретным условиям движения,1,Ранен,NISSAN,2004,Прочие легковые автомобили
1092515,1,Пассажир,Женский,,Нет нарушений,0,Ранен,NISSAN,2004,Прочие легковые автомобили
1092519,1,Водитель,,,Превышение установленной скорости движения,1,Не пострадал,,,"С-класс (малый средний, компактный) до 4,3 м"
1092519,,Пешеход,Женский,,Иные нарушения,1,Погиб,,,
1092537,1,Водитель,Мужской,0.0,Несоблюдение очередности проезда,1,Не пострадал,MITSUBISHI,2006,"А-класс (особо малый) до 3,5 м"
1092537,2,Водитель,Мужской,16.0,Нет нарушений,0,Ранен,SKODA,2018,"А-класс (особо малый) до 3,5 м"
1092546,1,Водитель,Мужской,44.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,HYUNDAI,2008,Прочие легковые автомобили
1092546,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
1092556,1,Водитель,Мужской,0.0,Выезд на полосу встречного движения,1,Ранен,ВАЗ,2001,Прочие легковые автомобили
1092556,2,Водитель,Мужской,35.0,Нет нарушений,0,Ранен,RENAULT,2010,"В-класс (малый) до 3,9 м"
1092567,1,Водитель,Женский,16.0,Выезд на полосу встречного движения,1,Не пострадал,NISSAN,2016,"С-класс (малый средний, компактный) до 4,3 м"
1092567,2,Водитель,Мужской,16.0,Нет нарушений,0,Ранен,NISSAN,2017,"С-класс (малый средний, компактный) до 4,3 м"
1092581,1,Водитель,Мужской,36.0,Несоблюдение бокового интервала,1,Не пострадал,KIA,2019,"В-класс (малый) до 3,9 м"
1092581,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
1092606,1,Водитель,Мужской,19.0,Нарушение правил расположения ТС на проезжей части,1,Не пострадал,ГАЗ,2010,Фургоны
1092606,,Пешеход,Мужской,,Нет нарушений,0,Ранен,,,
1092615,1,Водитель,Мужской,39.0,Нет нарушений,0,Не пострадал,КАМАЗ,2003,Самосвалы
1092615,2,Водитель,Мужской,18.0,Несоответствие скорости конкретным условиям движения,1,Ранен,NISSAN,2012,"С-класс (малый средний, компактный) до 4,3 м"
1092615,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,NISSAN,2012,"С-класс (малый средний, компактный) до 4,3 м"
1092615,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,NISSAN,2012,"С-класс (малый средний, компактный) до 4,3 м"
1092642,1,Водитель,Мужской,14.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,CHEVROLET,2012,"А-класс (особо малый) до 3,5 м"
1092642,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
1092677,1,Водитель,Мужской,36.0,"Несоблюдение условий, разрешающих движение транспорта задним ходом",1,Не пострадал,КАМАЗ,2019,Прочая спецтехника
1092677,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
1092722,1,Водитель,Мужской,26.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,RENAULT,2006,"В-класс (малый) до 3,9 м"
1092722,,Пешеход,Женский,,Нет нарушений,0,Погиб,,,
1092724,1,Водитель,Мужской,2.0,Несоответствие скорости конкретным условиям движения,1,Ранен,KIA,2016,"А-класс (особо малый) до 3,5 м"
1092724,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,KIA,2016,"А-класс (особо малый) до 3,5 м"
1092724,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,KIA,2016,"А-класс (особо малый) до 3,5 м"
1092724,2,Водитель,Мужской,15.0,Нет нарушений,0,Не пострадал,KIA,2017,"А-класс (особо малый) до 3,5 м"
1092781,1,Пассажир,Женский,,Нет нарушений,0,Ранен,DAEWOO,1997,"В-класс (малый) до 3,9 м"
1092781,1,Водитель,Мужской,11.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,DAEWOO,1997,"В-класс (малый) до 3,9 м"
1092861,1,Водитель,Мужской,24.0,"Несоблюдение условий, разрешающих движение транспорта задним ходом",1,Не пострадал,TOYOTA,2013,"В-класс (малый) до 3,9 м"
1092861,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
1092872,1,Водитель,Мужской,22.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,KIA,2010,Прочие легковые автомобили
1092872,,Пешеход,Мужской,,Нет нарушений,0,Ранен,,,
1092902,2,Водитель,Мужской,26.0,Нет нарушений,0,Не пострадал,RENAULT,2008,Седельные тягачи
1092902,3,Водитель,Мужской,12.0,Несоответствие скорости конкретным условиям движения,1,Погиб,FOTON,2019,Седельные тягачи
1092938,1,Водитель,Мужской,38.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,ПАЗ,2018,Прочие одноярусные
1092938,2,Водитель,Женский,17.0,Нет нарушений,0,Ранен,TOYOTA,2019,"В-класс (малый) до 3,9 м"
